source_id,source_type,relation,target_id,target_type,repo,metadata
email:a11a023f2b7c17023287abe56ea3b6f51a6e4c84d42b9b4e0ef2f4eb3b47c83d,AUTHOR,authored_commit,277d6f3a6281aa91acfdd5b2a2516c890431a10a,COMMIT,facebook/react-native,
github:marcoww6,AUTHOR,authored_commit,6c035760eda920e1ddeaf8a20eabc34b796d6754,COMMIT,facebook/react-native,
github:samchou19815,AUTHOR,authored_commit,d0a1efbec34c55280cb00d2928b30b25f8d67655,COMMIT,facebook/react-native,
github:samchou19815,AUTHOR,authored_commit,9db1d137e42462e65d2ab4bd76112b7571d84ea0,COMMIT,facebook/react-native,
github:paradowstack,AUTHOR,authored_commit,d38c756529d4c1076d0646dc75643b78ba2bcaaa,COMMIT,facebook/react-native,
github:robhogan,AUTHOR,authored_commit,a92bea818a0f9fc06623ed2fe9c20eb78dde46a6,COMMIT,facebook/react-native,
github:javache,AUTHOR,authored_commit,91e3f773b7e571a503b57e09a1cb8a44ff26cd1e,COMMIT,facebook/react-native,
github:yungsters,AUTHOR,authored_commit,bfb6870f6686d6395831cdbef7e4c6f10fff2a14,COMMIT,facebook/react-native,
github:hannojg,AUTHOR,authored_commit,9e058db4c8f1d2aa7ab632606b565f43e6664adc,COMMIT,facebook/react-native,
email:83124655e9f3d63c67980aab508b5bff94daac52e8d210759a5d3f08fcbab316,AUTHOR,authored_commit,f10cded1f833bf0a143e736dfd364f5b405c648c,COMMIT,facebook/react-native,
github:j-piasecki,AUTHOR,authored_commit,7b3277f358c951f0421a115fead1c00b5c71bc80,COMMIT,facebook/react-native,
github:j-piasecki,AUTHOR,authored_commit,f516811a9587faabd3a35e74355aeec8ed5c9909,COMMIT,facebook/react-native,
github:j-piasecki,AUTHOR,authored_commit,015cd13ab18f724373a0c96236e0239e1093bf2d,COMMIT,facebook/react-native,
github:j-piasecki,AUTHOR,authored_commit,31f262ed2eead22a20eb640ebd1c63d7ad8ed579,COMMIT,facebook/react-native,
github:j-piasecki,AUTHOR,authored_commit,cc9d06bef7c5c3ccd0e73b3001890f6cb6a46cab,COMMIT,facebook/react-native,
github:j-piasecki,AUTHOR,authored_commit,e59957137a84d1d3df97c94fbc9da41265b8af57,COMMIT,facebook/react-native,
github:j-piasecki,AUTHOR,authored_commit,33158cb18dc832b4bca0b63779546ea5185e17fe,COMMIT,facebook/react-native,
github:azverkan,AUTHOR,authored_commit,c118fa0915ae176f1cbe2e7d0d655b10a2b0173f,COMMIT,facebook/react-native,
github:joevilches,AUTHOR,authored_commit,4f908f433044279b7340c1933792b15aa5796a32,COMMIT,facebook/react-native,
github:robhogan,AUTHOR,authored_commit,402001fa50e4e292c68ad5eb8656e88d1a592331,COMMIT,facebook/react-native,
github:chrfalch,AUTHOR,authored_commit,6e7797d5ab1af6bab8d94b1c1ad62dddc1ec5474,COMMIT,facebook/react-native,
github:panagosg7,AUTHOR,authored_commit,d1809f0aad8c0a0ce0d97de63a4e2f3b41847b55,COMMIT,facebook/react-native,
github:seantarzy,AUTHOR,authored_commit,a06153c52aa6bbc415fa5a66d4dc6aba223fbce1,COMMIT,facebook/react-native,
github:rubennorte,AUTHOR,authored_commit,0b1def9ce5f6f3ea66d193fd254cfcb4c16d6e5a,COMMIT,facebook/react-native,
